genus,LACIc,LACIf,LACIi1,LACOc,LACOf,LACOi1,LACOi2,ORCOc,ORCOf,ORCOi1,SDCIc,SDCIf,SDCIi1,SDCIi2
Peptostreptococcaceae_unclassified_genus,29.164696898069,14.9387250445471,18.5570384377614,5.40746936252227,9.01123677224626,2.66918797047165,4.69835266736972,0.185461289501436,12.7168260664024,4.50925488199571,16.2624095421652,4.01469144332521,9.4512527728281,4.47288992326994
Bacillaceae_unclassified_genus,5.44747081712062,4.42197898105386,7.18207934833994,7.38208662133168,13.5059456707517,18.4006691152406,13.2041165133278,2.89465071457144,17.6515509654897,25.6009309429434,11.6258773046293,11.3676860976763,11.9822539001418,23.5608567584276
Desulfobulbaceae_uncultured,2.97829011964071,2.11280410196734,2.51645514382341,3.73468126113677,2.87283173933598,3.49830902941925,4.30197461725881,4.26560965853304,2.41463325939125,2.29099239972363,2.072802647369,1.01821884432161,1.14913269573439,3.08738499581803
Sandaracinaceae_uncultured,2.93465216916979,1.41096039855995,2.29099239972363,0.832757554820175,1.98916324229972,1.05822029891996,0.596385323102658,2.52372813556857,2.54191061493145,3.9055965671479,3.17466089675988,3.18193388850504,2.97465362376814,2.85464925997309
Pir4_lineage,2.72737190443289,1.12367722462635,1.53460125822757,1.68369758900324,2.6291865158733,2.76737335903124,1.7055165642387,5.82202989199607,3.05829302883741,3.43285210371286,2.19280701116404,1.87643187024983,1.58551220044365,1.2109531255682
Clostridiaceae_1_uncultured,2.67282446634423,17.1351685515837,15.0914578711953,8.54576530055638,7.97847194443434,0.00727299174515437,6.14567802465544,0.298192661551329,12.3349939997818,0,4.02560093094294,9.00032728462853,16.8806138405033,8.4148514491436
Paraclostridium,2.53100112731372,0.0145459834903087,0.134550347285356,0.0436379504709262,0.0654569257063893,0.00727299174515437,0.0545474380886578,0.869122513545947,0.676388232299356,0.0109094876177316,0.0472744463435034,0,0.040001454598349,0.0654569257063893
Planococcaceae_unclassified_genus,2.28371940797847,2.50554565620568,2.37099530892032,1.56732972108077,3.82923015382378,2.23280846576239,4.26197316266046,0.243645223462671,4.57107531182952,1.52005527473726,1.78188297756282,4.23288119567984,4.0001454598349,4.82199352703735
OM1_clade_ge,2.20735299465435,0.880032001163679,1.01821884432161,0.712753191025128,1.08003927415542,1.9927997381723,0.690934215789665,7.70573475399105,1.59278519218881,3.64740536019492,1.43277937379541,1.30913851412779,1.09094876177316,1.66551510964035
Mycobacterium,2.15644205243827,0.84003054656533,1.16004218335212,0.429106512964108,0.120004363795047,0.34910360376741,0.360013091385141,0.214553256482054,0.0945488926870068,0.0800029091966981,0.0690934215789665,0.0145459834903087,0.040001454598349,0.0690934215789665
Anaerolineaceae_uncultured,1.83643041565148,0.745481653878323,1.08003927415542,1.99643623404487,2.05825666387869,3.83650314556893,2.31281137495909,1.57460271282592,1.02912833193934,2.76373686315866,2.42554274700898,1.8655223826321,0.927306447507182,1.25822757191171
JTB255_marine_benthic_group_ge,1.625513655042,0.854576530055638,1.38914142332448,1.3709589439616,0.960034910360377,0.861849521800793,0.567293356122041,1.8800683661224,1.06912978653769,1.69460707662097,1.73824502709189,1.97461725880941,1.34186697698098,0.898214480526565
Tepidibacter,1.53823775410015,21.1025855485654,9.32761191316048,18.164296883523,12.5786392232445,0.040001454598349,21.6226044583439,0.872759009418524,9.65489654169243,0.040001454598349,4.77108258482127,12.7422815375105,12.9131968435216,7.96392596094403
Gammaproteobacteria_Incertae_Sedis_uncultured,1.34186697698098,0.545474380886578,0.683661224044511,1.1636786792247,1.33459398523583,0.861849521800793,1.10549474526346,0.814575075457289,0.538201389141423,0.378195570748027,1.94188879595622,1.99643623404487,0.84003054656533,1.28004654714717
Sva0725_ge,1.27277355540201,1.29459253063748,1.28731953889232,0.669115240554202,1.92734281246591,0.985490381468417,0.712753191025128,1.28731953889232,0.887304992908833,1.66915160551293,1.28004654714717,1.6582421178952,1.18549765446016,0.920033455762028
Lutimonas,1.18913415033274,0.418197025346376,0.876395505291101,0.843667042437907,0.46547147168988,0.603658314847813,0.789119604349249,1.50550929124695,0.403651041856067,0.403651041856067,1.14185970398924,0.745481653878323,0.592748827230081,1.14549619986181
Sva0071_ge,1.1164042328812,0.767300629113786,1.21822611731336,1.65460562202262,1.6582421178952,1.23640859667624,1.93825230008364,1.50914578711953,0.523655405651115,0.861849521800793,1.06912978653769,0.720026182770283,0.538201389141423,1.02185534019419
Planctomycetaceae_unclassified_genus,0.98185388559584,0.396378050110913,0.447288992326994,0.86548601767337,1.01094585257646,1.28731953889232,0.829121058947598,1.70188006836612,0.927306447507182,1.18186115858758,0.927306447507182,0.941852430997491,0.58183933961235,0.530928397396269
Belgica2005-10-ZG-3_ge,0.974580893850685,0.60729481072039,0.825484563075021,0.276373686315866,1.46914433252118,0.654569257063893,0.269100694570712,1.35641296047129,0.785483108476672,0.854576530055638,2.52372813556857,1.8800683661224,1.28004654714717,1.12367722462635
